#-----------------------------------------------------------
# xsim v2022.2 (64-bit)
# SW Build 3671981 on Fri Oct 14 05:00:03 MDT 2022
# IP Build 3669848 on Fri Oct 14 08:30:02 MDT 2022
# Start of session at: Wed Aug 12 23:37:32 2026
# Process ID: 40688
# Current directory: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1
# Command line: xsim.exe -mode tcl -source {xsim.dir/tb_core_logic_snap/xsim_script.tcl}
# Log file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1/xsim.log
# Journal file: C:/Users/jiho0/GitProjects/FPGA-Autonomous-Vehicle-Project/sources_1\xsim.jou
# Running On: JH_HP, OS: Windows, CPU Frequency: 1996 MHz, CPU Physical cores: 12, Host memory: 16697 MB
#-----------------------------------------------------------
source xsim.dir/tb_core_logic_snap/xsim_script.tcl
# xsim {tb_core_logic_snap} -autoloadwcfg -tclbatch {run.tcl}
Time resolution is 1 ps
source run.tcl
## log_wave -recursive *
WARNING: [Simtcl 6-197] One or more HDL objects could not be logged because of object type or size limitations.  To see details please rerun the command with -verbose (-v).
## run all
[TB] System Reset...
[TB] Reset Released. Wait for pipeline...
[10885000] SEQ: 99 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[10995000] SEQ: 100 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11105000] SEQ: 101 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11215000] SEQ: 102 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11325000] SEQ: 103 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11435000] SEQ: 104 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11545000] SEQ: 105 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11655000] SEQ: 106 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11765000] SEQ: 107 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11875000] SEQ: 108 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[11985000] SEQ: 109 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12095000] SEQ: 110 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12205000] SEQ: 111 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12315000] SEQ: 112 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12425000] SEQ: 113 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12535000] SEQ: 114 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12645000] SEQ: 115 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12755000] SEQ: 116 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12865000] SEQ: 117 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[12975000] SEQ: 118 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13085000] SEQ: 119 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13195000] SEQ: 120 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13305000] SEQ: 121 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13415000] SEQ: 122 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13525000] SEQ: 123 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13635000] SEQ: 124 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13745000] SEQ: 125 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13855000] SEQ: 126 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[13965000] SEQ: 127 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14075000] SEQ: 128 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14185000] SEQ: 129 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14295000] SEQ: 130 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14405000] SEQ: 131 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14515000] SEQ: 132 | Dist_out: 100 | MRM: 0 | TD_remain: 11
[14625000] SEQ: 133 | Dist_out: 100 | MRM: 0 | TD_remain: 11
