sample_seq,fault_label,reliability_word,active_detectors,invalid_channels,active_control_flags,changed_commands,input_accelerator,output_accelerator,input_brake,output_brake,input_steering_raw,output_steering_raw,input_speed_limit,output_speed_limit,td_remain_sec,invariant_violations
49,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
50,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
51,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
52,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
53,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
54,none,00154014,stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
55,none,00154014,stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
56,none,00154014,stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
57,none,00154014,stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
58,none,00154014,stuck:temperature;stuck:humidity;stuck:lux;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
59,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
60,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
61,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
62,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
63,none,00154015,jump:distance;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
64,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
65,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
66,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;noise:accel_x;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
67,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
68,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
69,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8160,7347,11,
70,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8096,7289,11,
71,none,00154015,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,8064,7260,11,
72,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7968,7174,11,
73,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7904,7116,11,
74,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7872,7087,11,
75,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7808,7030,11,
76,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7744,6972,11,
77,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7680,6915,11,
78,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7616,6857,11,
79,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7552,6799,11,
80,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7488,6742,11,
81,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7424,6684,11,
82,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7360,6626,11,
83,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7296,6569,11,
84,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7232,6511,11,
85,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7168,6454,11,
86,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7104,6396,11,
87,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,7040,6338,11,
88,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6976,6281,11,
89,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6944,6252,11,
90,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6880,6194,11,
91,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6816,6137,11,
92,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6784,6108,11,
93,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6720,6050,11,
94,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6688,6021,11,
95,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6624,5964,11,
96,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6560,5906,11,
97,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6464,5820,11,
98,none,00154055,jump:distance;jump:approach_speed;stuck:temperature;stuck:humidity;stuck:lux;noise:distance;noise:approach_speed;consistency:accel_x;consistency:accel_y;consistency:gyro_z,,,accelerator;speed_limit,10,0,0,0,0,0,6432,5791,11,
